x,y
1.654479,5.037098
1.647885,5.050984
1.641292,5.064870
1.634698,5.078755
1.628104,5.092641
1.621510,5.106527
1.614916,5.120413
1.608323,5.134299
1.601729,5.148185
1.595135,5.162070
1.588541,5.175956
1.581947,5.189842
1.575353,5.203728
1.568760,5.217614
1.562166,5.231500
1.555572,5.245385
1.548978,5.259271
1.542384,5.273157
1.535790,5.287043
1.529197,5.300929
1.522603,5.314815
1.516009,5.328700
1.509415,5.342586
1.502821,5.356472
1.496227,5.370358
1.489634,5.384244
1.483040,5.398130
1.476446,5.412015
1.469852,5.425901
1.463258,5.439787
1.456665,5.453673
1.450071,5.467559
1.443477,5.481445
1.436883,5.495330
1.430289,5.509216
1.423695,5.523102
1.417102,5.536988
1.410508,5.550874
1.403914,5.564760
1.397320,5.578645
1.390726,5.592531
1.384132,5.606417
1.377539,5.620303
1.370945,5.634189
1.364351,5.648075
1.357757,5.661960
1.351163,5.675846
1.344569,5.689732
1.337976,5.703618
1.331382,5.717504
1.324788,5.731390
1.318194,5.745275
1.311600,5.759161
1.305007,5.773047
1.298413,5.786933
1.291819,5.800819
1.285225,5.814705
1.278631,5.828590
1.272037,5.842476
1.265444,5.856362
1.258850,5.870248
1.252256,5.884134
1.245662,5.898020
1.239068,5.911905
1.232474,5.925791
1.225881,5.939677
1.219287,5.953563
1.212693,5.967449
1.206099,5.981335
1.199505,5.995220
1.192911,6.009106
1.203093,6.020735
1.213274,6.032364
1.223455,6.043993
1.233636,6.055622
1.243817,6.067250
1.253998,6.078879
1.264179,6.090508
1.274360,6.102137
1.284541,6.113766
1.294722,6.125395
1.304903,6.137024
1.315084,6.148652
1.325265,6.160281
1.335446,6.171910
1.345628,6.183539
1.355809,6.195168
1.365990,6.206797
1.376171,6.218425
1.386352,6.230054
1.396533,6.241683
1.406714,6.253312
1.416895,6.264941
1.427076,6.276570
1.437257,6.288199
1.447438,6.299827
1.457619,6.311456
1.467800,6.323085
1.477982,6.334714
1.488163,6.346343
1.498344,6.357972
1.508525,6.369601
1.518706,6.381229
1.528887,6.392858
1.539068,6.404487
1.549249,6.416116
1.559430,6.427745
1.569611,6.439374
1.579792,6.451003
1.589973,6.462631
1.600154,6.474260
1.610335,6.485889
1.620517,6.497518
1.630698,6.509147
1.640879,6.520776
1.651060,6.532404
1.661241,6.544033
1.671422,6.555662
1.681603,6.567291
1.691784,6.578920
1.701965,6.590549
1.712146,6.602178
1.722327,6.613806
1.732508,6.625435
1.742689,6.637064
1.752870,6.648693
1.763052,6.660322
1.773233,6.671951
1.783414,6.683580
1.793595,6.695208
1.803776,6.706837
1.813957,6.718466
1.824138,6.730095
1.834319,6.741724
1.844500,6.753353
1.854681,6.764982
1.864862,6.776610
1.875043,6.788239
1.885224,6.799868
1.895405,6.811497
1.905587,6.823126
1.915768,6.834755
1.925949,6.846383
1.936130,6.858012
1.946311,6.869641
1.956492,6.881270
1.966673,6.892899
1.976854,6.904528
1.987035,6.916157
1.997216,6.927785
2.007397,6.939414
2.017578,6.951043
2.027759,6.962672
2.037940,6.974301
2.048122,6.985930
2.058303,6.997559
2.068484,7.009187
2.078665,7.020816
2.088846,7.032445
2.099027,7.044074
2.109208,7.055703
2.119389,7.067332
2.129570,7.078960
2.139751,7.090589
2.149932,7.102218
2.160113,7.113847
2.170294,7.125476
2.180475,7.137105
2.190657,7.148734
2.200838,7.160362
2.211019,7.171991
2.221200,7.183620
2.231381,7.195249
2.241562,7.206878
2.251743,7.218507
2.261924,7.230136
2.272105,7.241764
2.282286,7.253393
2.292467,7.265022
2.302648,7.276651
2.312829,7.288280
2.323010,7.299909
2.333192,7.311538
2.343373,7.323166
2.353554,7.334795
2.363735,7.346424
2.373916,7.358053
2.384097,7.369682
2.394278,7.381311
2.404459,7.392939
2.414640,7.404568
2.424821,7.416197
2.435002,7.427826
2.445183,7.439455
2.455364,7.451084
2.465546,7.462713
2.475727,7.474341
2.485908,7.485970
2.496089,7.497599
2.506270,7.509228
2.516451,7.520857
2.526632,7.532486
2.536813,7.544115
2.546994,7.555743
2.557175,7.567372
2.567356,7.579001
2.577537,7.590630
2.587718,7.602259
2.597899,7.613888
2.608081,7.625516
2.618262,7.637145
2.628443,7.648774
2.638624,7.660403
2.648805,7.672032
2.658986,7.683661
2.669167,7.695290
2.679348,7.706918
2.689529,7.718547
2.699710,7.730176
2.709891,7.741805
2.720072,7.753434
2.730253,7.765063
2.740434,7.776692
2.750616,7.788320
2.760797,7.799949
2.770978,7.811578
2.781159,7.823207
2.791340,7.834836
2.801521,7.846465
2.811702,7.858094
2.821883,7.869722
2.832064,7.881351
2.842245,7.892980
2.852426,7.904609
2.862607,7.916238
2.872788,7.927867
2.882969,7.939495
2.893151,7.951124
2.903332,7.962753
2.913513,7.974382
2.923694,7.986011
2.933875,7.997640
2.944056,8.009269
2.954237,8.020897
2.964418,8.032526
2.974599,8.044155
2.984780,8.055784
2.994961,8.067413
3.005142,8.079042
3.015323,8.090671
3.025504,8.102299
3.035686,8.113928
3.045867,8.125557
3.056048,8.137186
3.068779,8.145800
3.081511,8.154413
3.094243,8.163027
3.106975,8.171641
3.119707,8.180255
3.132438,8.188868
3.145170,8.197482
3.157902,8.206096
3.170634,8.214710
3.183365,8.223323
3.196097,8.231937
3.208829,8.240551
3.221561,8.249165
3.234293,8.257778
3.247024,8.266392
3.259756,8.275006
3.272488,8.283620
3.285220,8.292233
3.297951,8.300847
3.310683,8.309461
3.323415,8.318075
3.336147,8.326688
3.348879,8.335302
3.361610,8.343916
3.374342,8.352530
3.387074,8.361143
3.399806,8.369757
3.412538,8.378371
3.425269,8.386985
3.438001,8.395598
3.450733,8.404212
3.463465,8.412826
3.476196,8.421440
3.488928,8.430053
3.501660,8.438667
3.514392,8.447281
3.527124,8.455895
3.539855,8.464508
3.552587,8.473122
3.565319,8.481736
3.578051,8.490350
3.590782,8.498963
3.603514,8.507577
3.616246,8.516191
3.628978,8.524805
3.641710,8.533418
3.654441,8.542032
3.667173,8.550646
3.679905,8.559260
3.692637,8.567873
3.705368,8.576487
3.718100,8.585101
3.730832,8.593715
3.743564,8.602328
3.756296,8.610942
3.769027,8.619556
3.781759,8.628170
3.794491,8.636783
3.807223,8.645397
3.819954,8.654011
3.832686,8.662625
3.845418,8.671238
3.858150,8.679852
3.870882,8.688466
3.883613,8.697080
3.896345,8.705693
3.909077,8.714307
3.921809,8.722921
3.934540,8.731535
3.947272,8.740148
3.960004,8.748762
3.972736,8.757376
3.985468,8.765990
3.998199,8.774603
4.010931,8.783217
4.023663,8.791831
4.036395,8.800445
4.049126,8.809058
4.061858,8.817672
4.074590,8.826286
4.087322,8.834900
4.100054,8.843513
4.112785,8.852127
4.125517,8.860741
4.138249,8.869355
4.150981,8.877968
4.163712,8.886582
4.176444,8.895196
4.189176,8.903810
4.201908,8.912423
4.214640,8.921037
4.227371,8.929651
4.240103,8.938265
4.252835,8.946878
4.265567,8.955492
4.278298,8.964106
4.291030,8.972720
4.303762,8.981333
4.316494,8.989947
4.329226,8.998561
4.341957,9.007175
4.354689,9.015789
4.367421,9.024402
4.380153,9.033016
4.392884,9.041630
4.405616,9.050244
4.418348,9.058857
4.431080,9.067471
4.443812,9.076085
4.456543,9.084699
4.469275,9.093312
4.482007,9.101926
4.494739,9.110540
4.507470,9.119154
4.520202,9.127767
4.532934,9.136381
4.545666,9.144995
4.558398,9.153609
4.571129,9.162222
4.583861,9.170836
4.596593,9.179450
4.609325,9.188064
4.622057,9.196677
4.634788,9.205291
4.647520,9.213905
4.660252,9.222519
4.672984,9.231132
4.685715,9.239746
4.698447,9.248360
4.711179,9.256974
4.723911,9.265587
4.736643,9.274201
4.749374,9.282815
4.762106,9.291429
4.774838,9.300042
4.787570,9.308656
4.800301,9.317270
4.813033,9.325884
4.825765,9.334497
4.838497,9.343111
4.851229,9.351725
4.863960,9.360339
4.876692,9.368952
4.889424,9.377566
4.902156,9.386180
4.914887,9.394794
4.927619,9.403407
4.940351,9.412021
4.953083,9.420635
4.965815,9.429249
4.978546,9.437862
4.991278,9.446476
5.004010,9.455090
5.016742,9.463704
5.029473,9.472317
5.042205,9.480931
5.054937,9.489545
5.067669,9.498159
5.080401,9.506772
5.093132,9.515386
5.105864,9.524000
5.118596,9.532614
5.131328,9.541227
5.144059,9.549841
5.156791,9.558455
5.169523,9.567069
5.182255,9.575682
5.194987,9.584296
5.207718,9.592910
5.220450,9.601524
5.233182,9.610137
5.245914,9.618751
5.258645,9.627365
5.271377,9.635979
5.284109,9.644592
5.296841,9.653206
5.309573,9.661820
5.322304,9.670434
5.335036,9.679047
5.347768,9.687661
5.360500,9.696275
5.373231,9.704889
5.385963,9.713502
5.398695,9.722116
5.411624,9.730863
5.424552,9.739610
